ra,ano,idade,ano_ingresso,inde,cg,cf,ct,iaa,ieg,ips,ipp,ida,mat,por,ing,ipv,ian,defasagem,evadiu,delta_defasagem,event_timestamp,fase_num,fase_ideal_num,pedra_num,tipo_inst_num,genero_masculino,pv_Sim
RA-1,2022,19,2016,5.783,753.0,18.0,10.0,8.3,4.1,5.6,9.852,4.0,2.7,3.5,6.0,7.278,5.0,-1.0,0.0,,2022-12-31,7,8,1,2,0,0
RA-2,2022,17,2017,7.055,469.0,8.0,3.0,8.8,5.2,6.3,8.372,6.8,6.3,4.5,9.7,6.778,10.0,0.0,0.0,,2022-12-31,7,7,3,0,0,0
RA-3,2022,17,2016,6.591,629.0,13.0,6.0,0.0,7.9,5.6,10.0,5.6,5.8,4.0,6.9,7.556,10.0,0.0,0.0,,2022-12-31,7,7,2,0,0,0
RA-4,2022,17,2017,5.951,731.0,15.0,7.0,8.8,4.5,5.6,5.232,5.0,2.8,3.5,8.7,5.278,10.0,0.0,0.0,,2022-12-31,7,7,1,0,1,0
RA-5,2022,17,2016,7.427,344.0,6.0,2.0,7.9,8.6,5.6,10.0,5.2,7.0,2.9,5.7,7.389,10.0,0.0,0.0,,2022-12-31,7,7,3,0,0,0
RA-6,2022,18,2021,5.848,745.0,16.0,8.0,7.9,4.5,7.5,7.758,3.3,2.3,5.3,2.3,7.222,5.0,-1.0,0.0,,2022-12-31,7,8,1,2,0,0
RA-7,2022,18,2017,6.818,550.0,11.0,5.0,0.0,8.4,7.5,8.513,7.6,8.2,5.7,9.0,7.667,5.0,-1.0,0.0,,2022-12-31,7,8,2,0,1,0
RA-8,2022,20,2018,4.786,835.0,21.0,13.0,7.1,4.6,6.3,4.482,1.6,1.2,0.7,2.9,6.278,5.0,-1.0,0.0,,2022-12-31,7,8,1,2,0,0
RA-9,2022,18,2019,8.109,113.0,1.0,1.0,8.8,9.5,7.5,10.0,6.7,5.5,6.0,8.7,9.5,5.0,-1.0,0.0,,2022-12-31,7,8,4,2,0,1
RA-10,2022,18,2021,5.784,752.0,17.0,9.0,8.3,5.2,5.0,8.884,4.1,3.3,2.6,6.4,7.056,5.0,-1.0,0.0,,2022-12-31,7,8,1,2,0,0
RA-11,2022,18,2016,5.323,799.0,19.0,11.0,9.2,4.2,5.0,8.241,3.0,1.8,2.5,4.5,6.389,5.0,-1.0,0.0,,2022-12-31,7,8,1,2,0,0
RA-12,2022,17,2020,4.832,834.0,20.0,12.0,0.0,4.0,6.9,7.131,1.5,2.7,1.1,0.7,6.389,10.0,0.0,0.0,,2022-12-31,7,7,1,2,0,0
RA-13,2022,18,2016,6.902,523.0,10.0,4.0,7.9,7.4,7.5,8.864,4.7,3.5,5.5,5.2,8.056,5.0,-1.0,0.0,,2022-12-31,7,8,2,2,1,0
RA-14,2022,21,2022,6.793,558.0,12.0,7.0,7.9,8.3,7.5,7.68,4.0,8.0,0.0,4.0,7.75,5.0,-1.0,0.0,,2022-12-31,7,8,2,2,1,0
RA-15,2022,18,2022,7.783,207.0,3.0,2.0,8.8,10.0,7.5,7.138,7.3,8.0,6.5,7.4,7.292,5.0,-1.0,0.0,,2022-12-31,7,8,3,2,1,0
RA-16,2022,19,2022,6.112,706.0,14.0,8.0,7.9,8.3,5.0,8.287,3.5,7.0,0.0,3.5,6.333,5.0,-1.0,0.0,,2022-12-31,7,8,2,2,1,0
RA-17,2022,20,2022,8.068,125.0,2.0,1.0,8.8,10.0,7.5,7.988,7.8,9.0,6.5,7.9,8.292,5.0,-1.0,0.0,,2022-12-31,7,8,4,2,1,0
RA-18,2022,19,2022,7.226,418.0,7.0,5.0,6.3,8.7,6.3,6.085,9.0,9.0,9.0,9.0,6.875,5.0,-1.0,0.0,,2022-12-31,7,8,3,2,1,0
RA-19,2022,19,2022,7.665,248.0,4.0,3.0,7.9,9.5,7.5,6.75,8.0,7.0,9.0,8.0,7.0,5.0,-1.0,0.0,,2022-12-31,7,8,3,2,0,0
RA-20,2022,19,2022,7.535,296.0,5.0,4.0,7.1,10.0,6.3,7.883,7.8,9.0,6.5,7.9,7.167,5.0,-1.0,0.0,,2022-12-31,7,8,3,2,0,0
RA-21,2022,18,2022,6.945,508.0,9.0,6.0,9.6,9.2,7.5,6.6,3.8,7.0,0.5,3.9,7.25,5.0,-1.0,0.0,,2022-12-31,7,8,2,2,1,0
RA-22,2022,17,2019,7.474,327.0,10.0,10.0,8.3,7.4,8.1,8.207,6.7,9.0,3.1,7.8,8.833,5.0,-1.0,1.0,,2022-12-31,6,7,3,0,0,1
RA-23,2022,17,2021,7.677,243.0,8.0,8.0,8.3,8.2,8.1,8.914,6.7,7.2,4.7,8.2,8.556,5.0,-1.0,1.0,,2022-12-31,6,7,3,2,1,1
RA-24,2022,17,2021,8.087,119.0,5.0,5.0,9.2,7.9,6.9,10.0,8.6,10.0,6.3,9.7,9.111,5.0,-1.0,1.0,,2022-12-31,6,7,4,0,0,1
